autor,titulo,top_10_palabras
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'ser': 10, 'ciencia': 7, 'hay': 4, 'sano': 4, 'porque': 4, 'nombre': 3, 'género': 3, 'medicinal': 3, 'todas': 2, 'estas': 2}, {'ser': 8, 'unidad': 4, 'pueden': 3, 'diferencias': 3, 'todas': 2, 'contrariedades': 2, 'primeras': 2, 'acepciones': 1, 'reducirse': 1, 'sola': 1}, {'ser': 9, 'todos': 5, 'privación': 5, 'puesto': 3, 'ciencia': 3, 'contrarios': 3, 'hay': 3, 'entre': 3, 'justo': 3, 'bajo': 3}, {'todas': 3, 'seres': 2, 'diversas': 2, 'ser': 2, 'contrariedades': 2, 'primeras': 2, 'sola': 2, 'ciencia': 2, 'puede': 2, 'abrazar': 2}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'sólo': 3, 'cantidades': 3, 'iguales': 3, 'deberá': 2, 'bajo': 2, 'filosofía': 2, 'ocupa': 2, 'particulares': 2, 'estudia': 2, 'estos': 2}, {'física': 3, 'matemáticas': 2, 'estudia': 2, 'seres': 2, 'bajo': 2, 'relación': 2, 'ser': 2, 'sucede': 1, 'accidentes': 1, 'principios': 1}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'cosa': 6, 'sea': 6, 'puede': 5, 'principio': 4, 'tiempo': 4, 'preciso': 4, 'cual': 3, 'misma': 3, 'verdaderas': 3, 'objeto': 3}, {'hombre': 6, 'caballo': 3, 'estará': 3, 'cierto': 2, 'además': 1, 'afirmación': 1, 'verdadera': 1, 'negación': 1, 'llamar': 1, 'tal': 1}, {'puede': 4, 'verdad': 4, 'ser': 4, 'afirmación': 3, 'ninguna': 2, 'principios': 2, 'heráclito': 2, 'tiempo': 2, 'esta': 2, 'sistema': 2}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'todas': 3, 'cosas': 3, 'protágoras': 2, 'medida': 2, 'son': 2, 'misma': 2, 'cosa': 2, 'buena': 2, 'mala': 2, 'parece': 2}, {'blanco': 8, 'ser': 6, 'unos': 6, 'otros': 5, 'viene': 4, 'parece': 3, 'resolver': 2, 'esta': 2, 'ha': 2, 'doctrina': 2}, {'son': 3, 'creer': 2, 'tales': 2, 'hay': 2, 'dos': 2, 'objetos': 2, 'porque': 2, 'ven': 2, 'verdad': 2, 'siempre': 2}, {'movimiento': 4, 'esté': 3, 'tiempo': 3, 'cantidad': 3, 'además': 2, 'mueve': 2, 'cosa': 2, 'ser': 2, 'verdaderas': 2, 'cualidad': 2}, {'alimento': 4, 'esto': 2, 'médico': 2, 'toman': 2, 'hay': 2, 'creer': 2, 'contrario': 2, 'comer': 2, 'ha': 2, 'les': 1}, {'mismos': 4, 'objetos': 3, 'nosotros': 2, 'sensibles': 2, 'parezcan': 2, 'diferentes': 2, 'enfermos': 2, 'antes': 2, 'cambio': 2, 'sensaciones': 2}, {'toda': 4, 'fácil': 2, 'principio': 2, 'razón': 2, 'prueba': 2, 'cuanto': 1, 'aquellos': 1, 'valiéndose': 1, 'razonamiento': 1, 'han': 1}, {'blanco': 6, 'contrarios': 4, 'porque': 4, 'falso': 4, 'objeto': 3, 'puede': 3, 'afirmarse': 3, 'verdadero': 3, 'aquí': 2, 'pueden': 2}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'ser': 4, 'ciencias': 3, 'ciencia': 2, 'ellas': 2, 'género': 2, 'trata': 2, 'toda': 1, 'ocupa': 1, 'indagación': 1, 'ciertos': 1}, {'esencia': 4, 'menos': 2, 'ni': 2, 'ciencias': 1, 'acabamos': 1, 'mencionar': 1, 'toman': 1, 'objeto': 1, 'género': 1, 'tratan': 1}, {'ciencia': 8, 'principio': 3, 'movimiento': 3, 'física': 2, 'práctica': 2, 'ni': 2, 'creadora': 2, 'ciencias': 2, 'objeto': 2, 'acción': 2}, {'chato': 5, 'noción': 3, 'materia': 3, 'nariz': 3, 'romo': 2, 'implica': 2, 'puesto': 1, 'necesario': 1, 'ciencia': 1, 'conozca': 1}, {'ciencia': 5, 'ser': 3, 'e': 3, 'independiente': 3, 'principio': 3, 'hay': 2, 'esta': 2, 'física': 2, 'trata': 2, 'seres': 2}, {'ciencias': 4, 'teóricas': 3, 'ciencia': 2, 'objeto': 2, 'concepto': 1, 'hay': 1, 'física': 1, 'matemática': 1, 'teología': 1, 'ahora': 1}, {'ciencia': 7, 'universal': 3, 'ser': 2, 'ciencias': 2, 'seres': 2, 'todas': 2, 'física': 2, 'otra': 2, 'naturaleza': 2, 'importa': 1}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'ser': 6, 'ninguna': 3, 'arte': 3, 'músico': 3, 'gramático': 3, 'ciencias': 2, 'ocupa': 2, 'les': 2, 'propio': 2, 'hombre': 2}, {'sofística': 3, 'ciencia': 2, 'sólo': 2, 'dicho': 2, 'semejantes': 1, 'razonamientos': 1, 'digo': 1, 'jamás': 1, 'son': 1, 'busca': 1}, {'ni': 11, 'toda': 4, 'siempre': 4, 'ordinariamente': 4, 'ciencia': 3, 'accidental': 3, 'existen': 3, 'necesidad': 3, 'accidente': 3, 'existe': 3}, {'otra': 5, 'ser': 5, 'cosa': 5, 'necesariamente': 5, 'efecto': 4, 'necesario': 3, 'último': 3, 'devenir': 3, 'llegará': 3, 'tiempo': 3}, {'ser': 6, 'pensamiento': 3, 'accidental': 2, 'respecto': 1, 'significa': 1, 'verdadero': 1, 'accidente': 1, 'consiste': 1, 'únicamente': 1, 'afirma': 1}, {'azar': 5, 'accidental': 4, 'pensamiento': 3, 'causa': 3, 'entre': 2, 'ser': 2, 'causas': 2, 'grandes': 2, 'azar424': 1, 'toda': 1}, {'ser': 3, 'accidental': 2, 'anterior': 2, 'causa': 2, 'ningún': 1, 'sí': 1, 'igual': 1, 'forma': 1, 'hay': 1, 'posterioridad': 1}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'hay': 4, 'ser': 4, 'cambio': 3, 'seres': 2, 'acto': 2, 'solamente': 2, 'otros': 2, 'potencia': 2, 'último': 2, 'bajo': 2}, {'acto': 3, 'hay': 3, 'construcción': 3, 'ser': 2, 'posible': 2, 'esta': 2, 'género': 1, 'seres': 1, 'da': 1, 'potencia': 1}, {'actualidad': 6, 'movimiento': 5, 'metal': 5, 'potencia': 4, 'enfermedad': 3, 'aquí': 3, 'hay': 3, 'identidad': 3, 'salud': 3, 'sigue': 2}, {'construido': 6, 'puede': 5, 'ser': 5, 'construcción': 4, 'actualidad': 3, 'esto': 2, 'movimiento': 2, 'objeto': 2, 'darse': 2, 'acto': 2}, {'ni': 8, 'movimiento': 5, 'principios': 4, 'nosotros': 3, 'hemos': 3, 'nos': 2, 'necesariamente': 2, 'indefinido': 2, 'son': 2, 'indefinidos': 2}, {'actualidad': 4, 'movimiento': 3, 'potencia': 3, 'pues': 2, 'imperfecta': 2, 'acto': 2, 'simple': 2, 'parecer': 1, '315': 1, 'causa': 1}, {'movimiento': 7, 'actualidad': 7, 'objeto': 4, 'móvil': 4, 'motor': 4, 'haya': 3, 'principio': 2, 'misma': 2, 'hay': 2, 'dos': 2}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'puede': 2, 'recorrer': 2, 'naturaleza': 2, 'adición': 2, 'sustracción': 2, 'infinito427': 1, 'porque': 1, 'está': 1, 'poder': 1, 'ser': 1}, {'infinito': 23, 'ser': 10, 'puede': 5, 'sí': 4, 'indivisible': 4, 'magnitud': 3, 'número': 3, 'acto': 3, 'porque': 3, 'aire': 3}, {'infinito': 2, 'tales': 1, 'son': 1, 'consideraciones': 1, 'generales': 1, 'relativas': 1, 'vamos': 1, 'demostrar': 1, 'ahora': 1, 'forma': 1}, {'cuerpo': 8, 'infinito': 8, 'número': 4, 'ser': 3, 'tiene': 3, 'cuerpos': 3, 'compuesto': 3, 'hay': 2, 'sea': 2, 'elementos': 2}, {'elementos': 4, 'fuera': 3, 'infinito': 2, 'ser': 2, 'cuerpo': 2, 'provienen': 2, 'porque': 2, 'cuerpos': 2, 'elemento': 2, 'fuego': 2}, {'especies': 6, 'partes': 5, 'infinito': 5, 'número': 5, 'cuerpos': 5, 'movimiento': 4, 'unidad': 3, 'contrario': 3, 'ejemplo': 3, 'cuerpo': 3}, {'infinito': 8, 'cuerpo': 6, 'está': 4, 'ni': 3, 'ser': 2, 'sensible': 2, 'movimiento': 2, 'abajo': 2, 'arriba': 2, 'medio': 2}, {'infinito': 6, 'movimiento': 3, 'relación': 3, 'magnitud': 2, 'tiempo': 2, 'dice': 2, 'causa': 2, 'hay': 1, 'identidad': 1, 'entre': 1}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'movimiento': 4, 'cambio': 3, 'cierto': 3, 'muda': 2, 'cura': 2, 'fin': 2, 'motor': 2, 'movida': 2, 'son': 2, 'calor': 2}, {'seres': 2, 'cambio': 1, 'accidental': 1, 'encuentra': 1, 'todos': 1, 'sino': 1, 'solamente': 1, 'contrarios': 1, 'intermedios': 1, 'respecto': 1}, {'sujeto': 15, 'cambio': 5, 'hay': 4, 'producción': 3, 'destrucción': 3, 'tránsito': 2, 'afirmación': 2, 'absolutamente': 2, 'hablando': 2, 'bajo': 2}, {'ser': 12, 'movimiento': 7, 'puede': 4, 'moverse': 2, 'sucede': 2, 'embargo': 2, 'blanco': 2, 'imposible': 2, 'efecto': 2, 'producción': 2}, {'cambio': 4, 'contrario': 3, 'puesto': 2, 'son': 2, 'sujeto': 2, 'privación': 2, 'movimiento': 1, 'cambios': 1, 'hemos': 1, 'enumerado': 1}]"
Aristoteles,Metafísica · libro undécimo · Κ · 1059a-1069a,"[{'movimiento': 10, 'hay': 6, 'relación': 4, 'cambio': 4, 'ser': 3, 'esencia': 3, 'cualidad': 2, 'acción': 2, 'cantidad': 2, 'sea': 2}, {'cambio': 13, 'movimiento': 8, 'estado': 8, 'tránsito': 6, 'ser': 5, 'devenía': 5, 'sujeto': 4, 'porque': 4, 'enfermedad': 4, 'salud': 4}, {'movimiento': 6, 'producción': 4, 'deviene': 4, 'cambio': 3, 'ni': 3, 'ser': 3, 'fin': 3, 'hay': 2, 'perece': 2, 'aquello': 2}, {'ni': 3, 'movimiento': 1, 'realiza': 1, 'esencia': 1, 'relación': 1, 'acción': 1, 'pasión': 1, 'resta': 1, 'verifique': 1, 'cualidad': 1}, {'cualidad': 3, 'ser': 3, 'modificado': 2, 'llamo': 1, 'caso': 1, 'sustancia': 1, 'porque': 1, 'diferencia': 1, 'misma': 1, 'sería': 1}, {'moverse': 3, 'movimiento': 3, 'puede': 2, 'naturaleza': 2, 'reposo': 2, 'inmóvil': 1, 'absolutamente': 1, 'pone': 1, 'sino': 1, 'dificultad': 1}, {'dice': 2, 'seres': 2, 'están': 2, 'reunión': 1, 'relación': 1, 'lugar443': 1, 'primitivamente': 1, 'solo': 1, 'separación': 1, 'diferentes': 1}, {'hay': 2, 'contacto': 1, 'reunión': 1, 'extremidades': 1, 'objetos': 1}, {'ser': 2, 'cambio': 2, 'intermedio': 1, 'aquello': 1, 'donde': 1, 'pasa': 1, 'muda': 1, 'antes': 1, 'llegar': 1, 'último': 1}, {'contrario': 1, 'relación': 1, 'está': 1, 'distante': 1, 'línea': 1, 'recta': 1}, {'sea': 3, 'consiguiente': 3, 'intermedio': 2, 'género': 2, 'algo': 2, 'consecuente': 1, 'dice': 1, 'entre': 1, 'ser': 1, 'principio': 1}, {'adherencia': 1, 'contacto': 1, 'sigue': 1}, {'contrarios': 2, 'entre': 2, 'cambio': 1, 'tiene': 1, 'opuestos': 1, 'contradicción': 1, 'hay': 1, 'medio': 1, 'cosas': 1, 'contradictorias': 1}, {'hay': 9, 'contacto': 7, 'continuidad': 6, 'son': 4, 'seres': 3, 'entre': 3, 'susceptibles': 3, 'ser': 2, 'sucesión': 2, 'consiguiente': 2}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'esencia': 4, 'esencias': 2, 'son': 2, 'blanco': 2, 'existencia': 2, 'objeto': 1, 'nuestro': 1, 'estudio': 1, 'porque': 1, 'buscamos': 1}, {'esencia': 3, 'principios': 2, 'universales': 2, 'era': 2, 'ejemplo': 1, 'nuestros': 1, 'mismos': 1, 'antepasados': 1, 'prueba': 1, 'acabamos': 1}, {'dos': 4, 'tiene': 4, 'son': 3, 'esencia': 3, 'esencias': 2, 'sensibles': 2, 'eterna': 2, 'sólo': 2, 'inmóvil': 2, 'otros': 2}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'cambio': 11, 'ser': 7, 'contrario': 5, 'potencia': 5, 'hay': 4, 'acto': 4, 'entre': 3, 'porque': 3, 'blanco': 3, 'contrarios': 3}, {'materia': 4, 'cambia': 1, 'tiene': 1, 'hay': 1, 'diferencias': 1, 'aquellos': 1, 'seres': 1, 'eternos': 1, 'sometidos': 1, 'leyes': 1}, {'ser': 7, 'potencia': 4, 'seres': 3, 'materia': 3, 'hubiera': 3, 'provienen': 2, 'porque': 2, 'tal': 2, 'acto': 2, 'podría': 1}, {'hay': 1, 'causas': 1, 'principios': 1, 'dos': 1, 'constituyen': 1, 'contrariedad': 1, 'noción': 1, 'sustancial': 1, 'forma': 1, 'otra': 1}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'forma': 4, 'materia': 3, 'son': 3, 'ni': 2, 'causa': 2, 'fin': 2, 'ser': 2, 'bronce': 2, 'esencia': 2, 'demás': 2}, {'esencia': 3, 'hay': 2, 'materia': 2, 'determinado': 2, 'clases': 1, 'apariencia': 1, 'ser': 1, 'porque': 1, 'partes': 1, 'entre': 1}, {'forma': 4, 'objetos': 3, 'materia': 3, 'cosas': 3, 'hay': 2, 'sucede': 2, 'casa': 2, 'arte': 2, 'otra': 2, 'existen': 2}, {'causas': 2, 'cosas': 2, 'esfera': 2, 'bronce': 2, 'motrices': 1, 'tienen': 1, 'prioridad': 1, 'existencia': 1, 'respecto': 1, 'producen': 1}, {'alma': 3, 'preguntemos': 1, 'ahora': 1, 'subsiste': 1, 'algo': 1, 'disolución': 1, 'conjunto': 1, 'tratándose': 1, 'ciertos': 1, 'seres': 1}, {'hombre': 2, 'engendra': 2, 'individuo': 2, 'evidente': 1, 'acabamos': 1, 'ver': 1, 'hay': 1, 'razón': 1, 'admitir': 1, 'existencia': 1}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'elemento': 8, 'elementos': 7, 'son': 6, 'esencia': 6, 'seres': 5, 'hay': 5, 'principios': 4, 'bajo': 4, 'mismos': 4, 'todos': 4}, {'principios': 5, 'cuerpos': 2, 'mismos': 2, 'elementos': 2, 'seres': 2, 'tienen': 1, 'difieren': 1, 'diferentes': 1, 'embargo': 1, 'puede': 1}, {'son': 3, 'causas': 3, 'principio': 2, 'elementos': 1, 'constitutivos': 1, 'únicas': 1, 'hay': 1, 'externas': 1, 'motor': 1, 'claro': 1}, {'seres': 5, 'motor': 5, 'hay': 4, 'arte': 4, 'bajo': 3, 'cuatro': 3, 'principios': 3, 'diferentes': 3, 'forma': 3, 'hombre': 3}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'son': 3, 'pueden': 2, 'sustancias': 2, 'entre': 1, 'seres': 1, 'hay': 1, 'unos': 1, 'existir': 1, 'aparte': 1, 'otros': 1}, {'acto': 6, 'potencia': 6, 'forma': 6, 'materia': 6, 'seres': 5, 'son': 4, 'ni': 4, 'otra': 3, 'ser': 3, 'principios': 2}, {'son': 7, 'principio': 6, 'tu': 5, 'universal': 4, 'hay': 3, 'principios': 3, 'hombre': 3, 'diferentes': 3, 'universales': 2, 'seres': 2}, {'son': 11, 'principios': 5, 'mismos': 4, 'diferentes': 3, 'nos': 2, 'entonces': 2, 'hay': 2, 'causas': 2, 'sustancias': 2, 'cosas': 2}, {'son': 3, 'casos': 2, 'hemos': 1, 'expuesto': 1, 'cuáles': 1, 'principios': 1, 'seres': 1, 'sensibles': 1, 'cuál': 1, 'número': 1}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'movimiento': 12, 'hay': 5, 'son': 5, 'porque': 5, 'acto': 5, 'esencia': 4, 'tiempo': 4, 'ni': 3, 'potencia': 3, 'inmóvil': 2}, {'movimiento': 7, 'ni': 6, 'potencia': 5, 'principio': 5, 'ser': 4, 'acto': 4, 'tiene': 3, 'porque': 3, 'mueve': 3, 'aquí': 2}, {'principio': 9, 'causa': 4, 'hay': 3, 'necesidad': 3, 'otra': 3, 'anaxágoras': 2, 'acto': 2, 'porque': 2, 'activo': 2, 'toda': 2}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'mueve': 5, 'ser': 4, 'hay': 3, 'movido': 3, 'algo': 2, 'movimiento': 2, 'pura': 2, 'posible': 1, 'sea': 1, 'porque': 1}, {'inteligible': 4, 'deseable': 3, 'primero': 3, 'porque': 3, 'parece': 3, 'simple': 3, 'aquí': 2, 'objeto': 2, 'bello': 2, 'deseamos': 2}, {'ser': 8, 'movimiento': 7, 'hay': 5, 'inmóvil': 4, 'mueve': 4, 'necesario': 4, 'primero': 3, 'cambio': 3, 'traslación': 3, 'manera': 2}, {'inteligencia': 6, 'pensamiento': 5, 'inteligible': 5, 'porque': 3, 'son': 3, 'sí': 3, 'sólo': 2, 'felicidad': 2, 'él': 2, 'goce': 2}, {'dios': 5, 'felicidad': 3, 'esta': 2, 'digno': 2, 'mayor': 2, 'porque': 2, 'inteligencia': 2, 'actualidad': 2, 'eterna': 2, 'goza': 1}, {'proviene': 3, 'principio': 2, 'bello': 2, 'porque': 2, 'son': 2, 'perfecto': 2, 'semilla': 2, 'sino': 2, 'hombre': 2, 'semen': 2}, {'extensión': 5, 'esencia': 3, 'puede': 3, 'infinita': 3, 'hay': 2, 'esta': 2, 'tiene': 2, 'ella': 2, 'finita': 2, 'porque': 2}, {'tales': 1, 'son': 1, 'caracteres': 1, 'manifiestos': 1, 'esencia': 1, 'trata': 1}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'números': 3, 'hay': 2, 'muchas': 2, 'son': 2, 'cuestión': 2, 'ellos': 2, 'ideas': 2, 'ninguna': 2, 'diez': 2, 'esta': 1}, {'movimiento': 7, 'esencia': 6, 'eterno': 5, 'ser': 4, 'imprime': 3, 'único': 3, 'movido': 3, 'inmóvil': 3, 'hemos': 3, 'primero': 2}, {'movimientos': 2, 'ciencias': 2, 'matemáticas': 2, 'objeto': 2, 'esencia': 2, 'planetas': 1, 'son': 1, 'ciertamente': 1, 'esencias': 1, 'primera': 1}, {'número': 3, 'hay': 2, 'movimientos': 2, 'movimiento': 2, 'opiniones': 2, 'mayor': 1, 'seres': 1, 'cosa': 1, 'evidente': 1, 'aquellos': 1}, {'círculo': 6, 'esfera': 6, 'movimiento': 5, 'tercera': 5, 'medio': 4, 'zodíaco': 4, 'luna': 3, 'esferas': 3, 'primera': 3, 'segunda': 3}, {'esferas': 3, 'dos': 3, 'era': 2, 'calipo': 2, 'estos': 2, 'posición': 1, 'orden': 1, 'distancias': 1, 'respectivas': 1, 'sistema': 1}, {'esferas': 3, 'estas': 2, 'fenómenos': 2, 'número': 2, 'todas': 1, 'juntas': 1, 'puedan': 1, 'dar': 1, 'razón': 1, 'necesario': 1}, {'esferas': 5, 'inverso': 3, 'puesto': 2, 'astros': 2, 'son': 2, 'movimientos': 2, 'sentido': 2, 'habrá': 2, 'movimiento': 2, 'ahora': 1}, {'número': 2, 'admitamos': 1, 'esferas': 1, '343': 1, 'habrá': 1, 'entonces': 1, 'igual': 1, 'esencias': 1, 'principios': 1, 'inmóviles': 1}, {'movimiento': 12, 'fin': 4, 'causa': 3, 'puede': 3, 'movimientos': 3, 'objeto': 3, 'haya': 2, 'ningún': 2, 'otra': 2, 'toda': 2}, {'hay': 4, 'muchos': 3, 'tiene': 3, 'solo': 2, 'cielo': 2, 'ellos': 2, 'múltiple': 2, 'cuanto': 2, 'numéricamente': 2, 'materia': 2}, {'tradición': 3, 'bajo': 3, 'son': 3, 'dioses': 3, 'estas': 3, 'relación': 2, 'esta': 2, 'primeras': 2, 'muchas': 2, 'veces': 2}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'pensamiento': 9, 'piensa': 6, 'objeto': 5, 'inteligencia': 4, 'pensar': 4, 'porque': 4, 'esencia': 3, 'mejor': 3, 'sea': 3, 'sería': 3}, {'pensamiento': 9, 'hay': 4, 'sí': 3, 'misma': 3, 'ciencia': 3, 'objeto': 3, 'diferente': 3, 'pensado': 3, 'preciso': 2, 'ser': 2}, {'inteligencia': 4, 'objeto': 3, 'pensamiento': 3, 'indivisible': 3, 'apodera': 3, 'porque': 2, 'humana': 2, 'instante': 2, 'resta': 1, 'examinar': 1}]"
Aristoteles,Metafísica · libro duodécimo · Λ · 1069a-1076a,"[{'orden': 4, 'general': 4, 'están': 4, 'universo': 3, 'sí': 3, 'mundo': 2, 'sucede': 2, 'ejército': 2, 'seres': 2, 'unos': 2}, {'debemos': 1, 'indicar': 1, 'todas': 1, 'consecuencias': 1, 'imposibles': 1, 'todos': 1, 'absurdos': 1, 'son': 1, 'consecuencia': 1, 'otros': 1}, {'contrarios': 5, 'cosas': 3, 'todas': 2, 'dos': 2, 'según': 1, 'todos': 1, 'filósofos': 1, 'provienen': 1, 'he': 1, 'aquí': 1}, {'materia': 2, 'dos': 2, 'unidad': 2, 'mal': 2, 'hay': 1, 'filósofos': 1, 'hacen': 1, 'contrarios490': 1, 'oponen': 1, 'desigual': 1}, {'principio': 3, 'ni': 2, 'otros': 1, 'pretenden': 1, 'mal': 1, 'son': 1, 'principios491': 1, 'embargo': 1, 'todas': 1, 'cosas': 1}, {'amistad': 3, 'principio': 2, 'causa': 2, 'motriz': 2, 'porque': 2, 'elementos': 2, 'materia': 2, 'misma': 2, 'concepto': 2, 'discordia': 2}, {'principio': 3, 'anaxágoras': 2, 'inteligencia': 2, 'mueve': 2, 'reconoce': 1, 'motor': 1, 'vista': 1, 'algo': 1, 'he': 1, 'aquí': 1}, {'todos': 2, 'contrarios': 2, 'principios': 2, 'esto': 2, 'fijamos': 1, 'atención': 1, 'verá': 1, 'asientan': 1, 'sirven': 1, 'perecedero': 1}, {'producción': 2, 'hay': 1, 'filósofos': 1, 'sacan': 1, 'seres': 1, 'ser493': 1, 'otros': 1, 'librarse': 1, 'esta': 1, 'necesidad': 1}, {'contrario': 5, 'ideas': 3, 'ciencia': 3, 'deben': 2, 'admitir': 2, 'principio': 2, 'superior': 2, 'porque': 2, 'primero': 2, 'sólo': 1}, {'ni': 7, 'causa': 6, 'seres': 4, 'hay': 3, 'principio': 3, 'motriz': 3, 'puede': 2, 'números': 2, 'tendrá': 2, 'menos': 2}, {'esencia': 4, 'principios': 2, 'diferentes': 2, 'exista': 2, 'cuanto': 1, 'toman': 1, 'principio': 1, 'número': 1, 'matemático': 1, 'admiten': 1}, {'mando': 1, 'muchos': 1, 'bueno': 1, 'basta': 1, 'solo': 1, 'jefe496': 1}]"
Aristoteles,Metafísica · libro décimotercio · Μ · 1076a-1087a,"[{'sustancia': 4, 'cuál': 3, 'naturaleza': 2, 'cosas': 2, 'sensibles': 2, 'nuestras': 2, 'otros': 2, 'sean': 2, 'puntos': 2, 'nosotros': 2}, {'sustancias': 7, 'ideas': 6, 'seres': 5, 'son': 4, 'dos': 3, 'matemáticos': 3, 'números': 3, 'hay': 2, 'asunto': 2, 'nos': 2}, {'existen': 3, 'están': 3, 'objetos': 2, 'sensibles': 2, 'ellos': 2, 'ni': 2, 'manera': 2, 'ser': 2, 'seres': 1, 'matemáticos': 1}]"
Aristoteles,Metafísica · libro décimotercio · Μ · 1076a-1087a,"[{'sensibles': 5, 'línea': 4, 'hemos': 3, 'objetos': 3, 'demás': 3, 'naturalezas': 3, 'división': 3, 'dicho': 2, 'era': 2, 'imposible': 2}, {'superficies': 13, 'sólidos': 9, 'puntos': 9, 'anteriores': 8, 'líneas': 8, 'fuera': 5, 'existencia': 4, 'sensibles': 4, 'otros': 3, 'cuerpos': 3}, {'mónadas': 3, 'fuera': 3, 'números': 2, 'habría': 2, 'seres': 2, 'razonamiento': 1, 'aplica': 1, 'diferentes': 1, 'punto': 1, 'diferente': 1}, {'separada': 4, 'ni': 4, 'otra': 3, 'existencia': 3, 'seres': 3, 'sensibles': 3, 'sustancia': 3, 'cómo': 2, 'cosas': 2, 'puede': 2}, {'magnitudes': 4, 'alma': 4, 'cuerpo': 4, 'matemáticas': 3, 'son': 3, 'tiene': 3, 'ser': 3, 'principio': 3, 'superficie': 3, 'verdad': 2}, {'prioridad': 7, 'blanco': 7, 'lógica': 4, 'sustancial': 4, 'tienen': 3, 'esto': 3, 'hombre': 3, 'anterior': 2, 'existencia': 2, 'nociones': 2}, {'tienen': 3, 'existencia': 3, 'son': 2, 'ser': 2, 'sensibles': 2, 'pueden': 2, 'precede': 1, 'basta': 1, 'probar': 1, 'seres': 1}]"
Aristoteles,Metafísica · libro décimotercio · Μ · 1076a-1087a,"[{'seres': 8, 'ser': 6, 'ciencia': 5, 'sensibles': 5, 'sino': 5, 'produce': 5, 'salud': 5, 'son': 4, 'únicamente': 4, 'movimiento': 4}, {'ciencia': 5, 'ni': 4, 'tiene': 4, 'movimiento': 4, 'vista': 3, 'sonido': 3, 'ciencias': 2, 'tratan': 2, 'seres': 2, 'sensibles': 2}, {'hombre': 5, 'indivisible': 4, 'accidentes': 3, 'seres': 3, 'existencias': 2, 'separadas': 2, 'estos': 2, 'error': 2, 'pie': 2, 'separado': 2}, {'bello': 8, 'matemáticas': 3, 'hablan': 3, 'ciencias': 2, 'ni': 2, 'principalmente': 2, 'son': 2, 'orden': 2, 'limitación': 2, 'esto': 2}, {'seres': 3, 'son': 3, 'acabamos': 1, 'mostrar': 1, 'matemáticos': 1, 'cómo': 1, 'concepto': 1, 'tienen': 1, 'prioridad': 1, 'cuál': 1}]"
Aristoteles,Metafísica · libro décimotercio · Μ · 1076a-1087a,"[{'ideas': 2, 'llegamos': 1, 'comencemos': 1, 'examen': 1, 'concepto': 1, 'idea': 1, 'uniremos': 1, 'explicación': 1, 'naturaleza': 1, 'números': 1}, {'ciencia': 4, 'principio': 3, 'sócrates': 3, 'estos': 3, 'cosas': 2, 'hay': 2, 'razón': 2, 'naturalezas': 2, 'definiciones': 2, 'objetos': 2}, {'ideas': 6, 'seres': 5, 'número': 4, 'hay': 3, 'sensibles': 3, 'ni': 2, 'esta': 2, 'les': 2, 'condujo': 2, 'objetos': 2}, {'ideas': 10, 'existencia': 4, 'razones': 2, 'conducen': 2, 'habrá': 2, 'hay': 2, 'sí': 2, 'partidarios': 2, 'doctrina': 2, 'número': 2}, {'ideas': 10, 'sólo': 5, 'esencias': 4, 'participación': 4, 'entre': 4, 'hay': 3, 'otra': 3, 'cosas': 3, 'porque': 3, 'esencia': 3}, {'idea': 7, 'ideas': 3, 'círculo': 3, 'todas': 3, 'concordancia': 2, 'demás': 2, 'partes': 2, 'unirá': 2, 'admitiremos': 1, 'otra': 1}]"
